Brand,Product Name,Model No,Size,EU Size,Color,Musinsa Price,Musinsa Stock,Poizon Price,Poizon Stock,Profit,Margin (%),Status,Poizon Score,Poizon Rank,Image URL,Musinsa URL,Has Profit,Updated At
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,XXXXL,XXXXL,블랙,0,N/A,0,OUT_OF_STOCK,0,0.0,N/A,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,XXXL,XXXL,블랙,0,N/A,76000,IN_STOCK,0,0.0,N/A,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,2,-,ONE COLOR,66640,OUT_OF_STOCK,0,N/A,0,0.0,N/A,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,4,-,ONE COLOR,66640,OUT_OF_STOCK,0,N/A,0,0.0,N/A,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,85,XS,ONE COLOR,66640,OUT_OF_STOCK,98000,IN_STOCK,0,0.0,N/A,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,90,S,ONE COLOR,66640,OUT_OF_STOCK,78000,IN_STOCK,0,0.0,N/A,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,95,M,ONE COLOR,66640,OUT_OF_STOCK,73000,IN_STOCK,0,0.0,N/A,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,100,L,ONE COLOR,66640,IN_STOCK,69000,IN_STOCK,2360,3.54,PROFIT,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,105,XL,ONE COLOR,66640,IN_STOCK,69000,IN_STOCK,2360,3.54,PROFIT,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,110,XXL,ONE COLOR,66640,IN_STOCK,63000,IN_STOCK,-3640,-5.46,LOSS,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
아디다스,아디컬러 클래식 파이어버드 트랙탑 IJ7058,IJ7058,115,-,ONE COLOR,66640,IN_STOCK,0,N/A,0,0.0,N/A,178.93,B (양호),https:/images/prd_img/20240420/4071245/detail_4071245_17135455318942_500.jpg,https://www.musinsa.com/products/4071245,True,2026-01-28 11:26:36
노스페이스,NJ3NS02K 화이트라벨 칼릭스 T 자켓 WHITE,NJ3NS02K,85,085(XS),WHITE,264100,OUT_OF_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,0.0,F (정체),https:/images/prd_img/20260119/5907206/detail_5907206_17687888454977_500.jpg,https://www.musinsa.com/products/5907206,False,2026-01-28 11:26:36
노스페이스,NJ3NS02K 화이트라벨 칼릭스 T 자켓 WHITE,NJ3NS02K,90,090(S),WHITE,264100,IN_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,0.0,F (정체),https:/images/prd_img/20260119/5907206/detail_5907206_17687888454977_500.jpg,https://www.musinsa.com/products/5907206,False,2026-01-28 11:26:36
노스페이스,NJ3NS02K 화이트라벨 칼릭스 T 자켓 WHITE,NJ3NS02K,95,095(M),WHITE,264100,IN_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,0.0,F (정체),https:/images/prd_img/20260119/5907206/detail_5907206_17687888454977_500.jpg,https://www.musinsa.com/products/5907206,False,2026-01-28 11:26:36
노스페이스,NJ3NS02K 화이트라벨 칼릭스 T 자켓 WHITE,NJ3NS02K,100,100(L),WHITE,264100,IN_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,0.0,F (정체),https:/images/prd_img/20260119/5907206/detail_5907206_17687888454977_500.jpg,https://www.musinsa.com/products/5907206,False,2026-01-28 11:26:36
노스페이스,NJ3NS02K 화이트라벨 칼릭스 T 자켓 WHITE,NJ3NS02K,105,105(XL),WHITE,264100,IN_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,0.0,F (정체),https:/images/prd_img/20260119/5907206/detail_5907206_17687888454977_500.jpg,https://www.musinsa.com/products/5907206,False,2026-01-28 11:26:36
노스페이스,NJ3NS02K 화이트라벨 칼릭스 T 자켓 WHITE,NJ3NS02K,110,110(XXL),WHITE,264100,IN_STOCK,0,OUT_OF_STOCK,0,0.0,N/A,0.0,F (정체),https:/images/prd_img/20260119/5907206/detail_5907206_17687888454977_500.jpg,https://www.musinsa.com/products/5907206,False,2026-01-28 11:26:36
노스페이스,NC1DR70A 남성 액트 프리 EX 하이브리드 다운 코트 BLACK,NC1DR70A,85,XS,BLACK,259340,OUT_OF_STOCK,294000,IN_STOCK,0,0.0,N/A,4.92,F (정체),https:/images/prd_img/20251022/5627100/detail_5627100_17611086608068_500.jpg,https://www.musinsa.com/products/5627100,False,2026-01-28 11:26:36
노스페이스,NC1DR70A 남성 액트 프리 EX 하이브리드 다운 코트 BLACK,NC1DR70A,90,S,BLACK,259340,OUT_OF_STOCK,267000,IN_STOCK,0,0.0,N/A,4.92,F (정체),https:/images/prd_img/20251022/5627100/detail_5627100_17611086608068_500.jpg,https://www.musinsa.com/products/5627100,False,2026-01-28 11:26:36
노스페이스,NC1DR70A 남성 액트 프리 EX 하이브리드 다운 코트 BLACK,NC1DR70A,95,M,BLACK,259340,OUT_OF_STOCK,393000,IN_STOCK,0,0.0,N/A,4.92,F (정체),https:/images/prd_img/20251022/5627100/detail_5627100_17611086608068_500.jpg,https://www.musinsa.com/products/5627100,False,2026-01-28 11:26:36
노스페이스,NC1DR70A 남성 액트 프리 EX 하이브리드 다운 코트 BLACK,NC1DR70A,100,L,BLACK,259340,IN_STOCK,259000,IN_STOCK,-340,-0.13,LOSS,4.92,F (정체),https:/images/prd_img/20251022/5627100/detail_5627100_17611086608068_500.jpg,https://www.musinsa.com/products/5627100,False,2026-01-28 11:26:36
